class, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 2.486000000000000000e+03,1.540000000000000000e+02, 6.680000000000000000e+02, 6.800000000000000000e+01, 4.000000000000000000e+01, 9.000000000000000000e+01, 2.600000000000000000e+01, 1.280000000000000000e+02, 2.840000000000000000e+02, 5.600000000000000000e+01
1, 2.400000000000000000e+02, 3.088000000000000000e+03, 2.400000000000000000e+01, 8.000000000000000000e+01, 2.000000000000000000e+01, 7.000000000000000000e+01, 1.800000000000000000e+01, 1.860000000000000000e+02, 9.200000000000000000e+01, 1.820000000000000000e+02
2, 1.740000000000000000e+02, 1.600000000000000000e+01, 2.396000000000000000e+03, 3.240000000000000000e+02, 2.560000000000000000e+02, 4.700000000000000000e+02, 2.420000000000000000e+02, 6.600000000000000000e+01, 3.600000000000000000e+01, 2.000000000000000000e+01
3, 7.800000000000000000e+01, 3.800000000000000000e+01, 4.400000000000000000e+02, 1.778000000000000000e+03, 6.000000000000000000e+01, 1.042000000000000000e+03, 3.740000000000000000e+02, 5.400000000000000000e+01, 9.800000000000000000e+01, 3.800000000000000000e+01
4, 1.020000000000000000e+02, 2.800000000000000000e+01, 7.120000000000000000e+02, 4.000000000000000000e+02, 1.650000000000000000e+03, 3.320000000000000000e+02, 4.020000000000000000e+02, 3.100000000000000000e+02, 4.400000000000000000e+01, 2.000000000000000000e+01
5, 4.600000000000000000e+01, 2.200000000000000000e+01, 3.620000000000000000e+02, 1.056000000000000000e+03, 8.400000000000000000e+01, 2.180000000000000000e+03, 1.180000000000000000e+02, 7.400000000000000000e+01, 3.800000000000000000e+01, 2.000000000000000000e+01
6, 3.600000000000000000e+01, 6.000000000000000000e+00, 3.380000000000000000e+02, 7.720000000000000000e+02, 2.600000000000000000e+02, 2.080000000000000000e+02, 2.348000000000000000e+03, 8.000000000000000000e+00, 2.400000000000000000e+01, 0.000000000000000000e+00
7, 1.120000000000000000e+02, 6.000000000000000000e+01, 2.960000000000000000e+02, 2.780000000000000000e+02, 2.240000000000000000e+02, 5.640000000000000000e+02, 9.800000000000000000e+01, 2.178000000000000000e+03, 4.000000000000000000e+01, 1.500000000000000000e+02
8, 7.740000000000000000e+02, 1.960000000000000000e+02, 1.720000000000000000e+02, 8.000000000000000000e+01, 1.600000000000000000e+01, 5.000000000000000000e+01, 1.200000000000000000e+01, 2.400000000000000000e+01, 2.650000000000000000e+03, 2.600000000000000000e+01
9, 1.580000000000000000e+02, 6.500000000000000000e+02, 3.000000000000000000e+01, 1.240000000000000000e+02, 1.600000000000000000e+01, 3.400000000000000000e+01, 3.200000000000000000e+01, 2.980000000000000000e+02, 1.300000000000000000e+02, 2.528000000000000000e+03
