class, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0, 4.677000000000000000e+03, 1.700000000000000000e+01, 8.400000000000000000e+01, 4.600000000000000000e+01, 1.600000000000000000e+01, 7.000000000000000000e+00, 8.000000000000000000e+00, 9.000000000000000000e+00, 8.700000000000000000e+01, 4.900000000000000000e+01
1, 1.800000000000000000e+01, 4.815000000000000000e+03, 7.000000000000000000e+00, 1.400000000000000000e+01, 2.000000000000000000e+00, 5.000000000000000000e+00, 3.000000000000000000e+00, 1.000000000000000000e+00, 2.800000000000000000e+01, 1.070000000000000000e+02
2, 1.240000000000000000e+02, 2.000000000000000000e+00, 4.479000000000000000e+03, 1.030000000000000000e+02, 8.700000000000000000e+01, 6.200000000000000000e+01, 8.300000000000000000e+01, 3.100000000000000000e+01, 2.100000000000000000e+01, 8.000000000000000000e+00
3, 3.400000000000000000e+01, 9.000000000000000000e+00, 9.800000000000000000e+01, 4.241000000000000000e+03, 8.300000000000000000e+01, 3.470000000000000000e+02, 9.600000000000000000e+01, 6.400000000000000000e+01, 1.300000000000000000e+01, 1.500000000000000000e+01
4, 2.000000000000000000e+01, 1.000000000000000000e+00, 8.200000000000000000e+01, 7.500000000000000000e+01, 4.656000000000000000e+03, 4.800000000000000000e+01, 3.400000000000000000e+01, 7.600000000000000000e+01, 6.000000000000000000e+00, 2.000000000000000000e+00
5, 1.300000000000000000e+01, 3.000000000000000000e+00, 5.700000000000000000e+01, 3.870000000000000000e+02, 7.200000000000000000e+01, 4.322000000000000000e+03, 3.500000000000000000e+01, 1.010000000000000000e+02, 7.000000000000000000e+00, 3.000000000000000000e+00
6, 1.300000000000000000e+01, 6.000000000000000000e+00, 6.700000000000000000e+01, 7.900000000000000000e+01, 4.100000000000000000e+01, 2.100000000000000000e+01, 4.752000000000000000e+03, 7.000000000000000000e+00, 1.000000000000000000e+01, 4.000000000000000000e+00
7, 1.000000000000000000e+01, 2.000000000000000000e+00, 3.700000000000000000e+01, 6.000000000000000000e+01, 8.500000000000000000e+01, 7.400000000000000000e+01, 1.000000000000000000e+01, 4.704000000000000000e+03, 5.000000000000000000e+00, 1.300000000000000000e+01
8, 8.800000000000000000e+01, 3.800000000000000000e+01, 1.000000000000000000e+01, 1.600000000000000000e+01, 6.000000000000000000e+00, 1.000000000000000000e+00, 8.000000000000000000e+00, 8.000000000000000000e+00, 4.797000000000000000e+03, 2.800000000000000000e+01
9, 4.400000000000000000e+01, 1.030000000000000000e+02, 8.000000000000000000e+00, 1.000000000000000000e+01, 1.000000000000000000e+00, 5.000000000000000000e+00, 6.000000000000000000e+00, 1.200000000000000000e+01, 3.300000000000000000e+01, 4.778000000000000000e+03
