item_id,ground_truth,predicted,epoch_id
000001,3,3,test_epoch1
000002,8,1,test_epoch1
000003,8,8,test_epoch1
000004,0,0,test_epoch1
000005,6,6,test_epoch1
000006,6,6,test_epoch1
000007,1,1,test_epoch1
000008,6,6,test_epoch1
000009,3,5,test_epoch1
000010,1,1,test_epoch1
000011,0,0,test_epoch1
000012,9,9,test_epoch1
000013,5,6,test_epoch1
000014,7,7,test_epoch1
000015,9,9,test_epoch1
000016,8,0,test_epoch1
000017,5,5,test_epoch1
000018,7,7,test_epoch1
000019,8,9,test_epoch1
000020,6,6,test_epoch1
000021,7,7,test_epoch1
000022,0,0,test_epoch1
000023,4,8,test_epoch1
000024,9,9,test_epoch1
000025,5,2,test_epoch1
000026,2,6,test_epoch1
000027,4,4,test_epoch1
000028,0,2,test_epoch1
000029,9,1,test_epoch1
000030,6,6,test_epoch1
000031,6,6,test_epoch1
000032,5,5,test_epoch1
000033,4,6,test_epoch1
000034,5,3,test_epoch1
000035,9,9,test_epoch1
000036,2,3,test_epoch1
000037,4,7,test_epoch1
000038,1,1,test_epoch1
000039,9,9,test_epoch1
000040,5,5,test_epoch1
000041,4,0,test_epoch1
000042,6,6,test_epoch1
000043,5,3,test_epoch1
000044,6,6,test_epoch1
000045,0,0,test_epoch1
000046,9,9,test_epoch1
000047,3,3,test_epoch1
000048,9,7,test_epoch1
000049,7,7,test_epoch1
000050,6,2,test_epoch1
000051,9,9,test_epoch1
000052,8,8,test_epoch1
000053,0,6,test_epoch1
000054,3,6,test_epoch1
000055,8,8,test_epoch1
000056,8,8,test_epoch1
000057,7,7,test_epoch1
000058,7,8,test_epoch1
000059,4,2,test_epoch1
000060,6,5,test_epoch1
000061,7,7,test_epoch1
000062,3,3,test_epoch1
000063,6,6,test_epoch1
000064,3,0,test_epoch1
000065,6,6,test_epoch1
000066,2,6,test_epoch1
000067,1,1,test_epoch1
000068,2,0,test_epoch1
000069,3,3,test_epoch1
000070,7,0,test_epoch1
000071,2,8,test_epoch1
000072,6,6,test_epoch1
000073,8,8,test_epoch1
000074,8,8,test_epoch1
000075,0,0,test_epoch1
