item_id,ground_truth,predicted
000001,3,3
000002,8,1
000003,8,8
000004,0,0
000005,6,6
000006,6,6
000007,1,1
000008,6,6
000009,3,5
000010,1,1
000011,0,0
000012,9,9
000013,5,6
000014,7,7
000015,9,9
000016,8,0
000017,5,5
000018,7,7
000019,8,9
000020,6,6
000021,7,7
000022,0,0
000023,4,8
000024,9,9
000025,5,2
000026,2,6
000027,4,4
000028,0,2
000029,9,1
000030,6,6
000031,6,6
000032,5,5
000033,4,6
000034,5,3
000035,9,9
000036,2,3
000037,4,7
000038,1,1
000039,9,9
000040,5,5
000041,4,0
000042,6,6
000043,5,3
000044,6,6
000045,0,0
000046,9,9
000047,3,3
000048,9,7
000049,7,7
000050,6,2
000051,9,9
000052,8,8
000053,0,6
000054,3,6
000055,8,8
000056,8,8
000057,7,7
000058,7,8
000059,4,2
000060,6,5
000061,7,7
000062,3,3
000063,6,6
000064,3,0
000065,6,6
000066,2,6
000067,1,1
000068,2,0
000069,3,3
000070,7,0
000071,2,8
000072,6,6
000073,8,8
000074,8,8
000075,0,0
000076,2,2
000077,9,0
000078,3,3
000079,3,3
000080,8,8
000081,8,8
000082,1,1
000083,1,1
000084,7,7
000085,2,2
000086,5,7
000087,2,9
000088,7,8
000089,8,9
000090,9,9
000091,0,0
000092,3,2
000093,8,8
000094,6,6
000095,4,4
000096,6,6
000097,6,6
000098,0,0
000099,0,0
000100,7,7
000101,4,4
000102,5,4
000103,6,6
000104,3,6
000105,1,1
000106,1,1
000107,3,6
000108,6,6
000109,8,5
000110,7,7
000111,4,6
000112,0,0
000113,6,2
000114,2,2
000115,1,1
000116,3,2
000117,0,2
000118,4,7
000119,2,4
000120,7,7
000121,8,0
000122,3,4
000123,1,1
000124,2,2
000125,8,8
000126,0,2
000127,8,8
000128,3,5
000129,5,3
000130,2,0
000131,4,2
000132,1,1
000133,8,9
000134,9,9
000135,1,1
000136,2,2
000137,9,9
000138,7,7
000139,2,2
000140,9,8
000141,6,6
000142,5,5
000143,6,6
000144,3,6
000145,8,8
000146,7,3
000147,6,6
000148,2,6
000149,5,7
000150,2,3
000151,8,0
000152,9,9
000153,6,6
000154,0,0
000155,0,0
000156,5,6
000157,2,2
000158,9,9
000159,5,3
000160,4,2
000161,2,2
000162,1,1
000163,6,6
000164,6,6
000165,8,0
000166,4,7
000167,8,8
000168,4,6
000169,5,7
000170,0,0
000171,9,9
000172,9,0
000173,9,0
000174,8,8
000175,9,9
000176,9,9
000177,3,6
000178,7,7
000179,5,3
000180,0,9
000181,0,0
000182,5,5
